Reviews
Taste was not very good... I don't know if it was because it was healthy or not of good quality
"very less portion compared to price, taste is ok compared to others"
worst taste
"EatFit has always been my go-to place for breakfasts, the variety and healthy items available there impress me"
nice packaging
very spicy
I ordered a chicken pizza and I rarely found any chicken in that
one of the worst pizza you will ever eat. murdering the flavour in the name of experimenting with different ingredients. must avoid.
salty
Quality is good but quantity is poor for the money
"Food quantity, quality and packing was good but salt was too much."
packaging can be more precise for veg and non veg. can be packed as one stack rather than individual.
Nice
very spicy
packaging can be more precise for veg and non veg. can be packed as one stack rather than individual.
Nice
very spicy
Roti was so hard. Poor quality of soya bean sabji also
Very bad and I lost my money buy ordering I never go with Zomato rather I prefer swiggy
I have ordered 8 Gold Corn pizza ordered on buy one get one offer but I was received as one order I'm very dispointed don't play cheap stricks to customers worst service quality also not good I will suggest my friends to don't order on eat fit pls check the attached screenshot.
Taste was ok ok
Juice was worst
worst
Pizza got moist.
Taste is not that good. It can be better
"butter panner gravy is whole water, too bad, did not expect this"
taste is okay
too oily
very spicy.
millet curd rice is spicy. tender coconut water has sugar in it. don't know what's fit about that
Much prefer the Palak paneer thali. Eat fit should really change their butter paneer recipe. It’s too sweet.
They show different things and deliver different things not good don't order from this restaurant any time my suggestion
Missed an item in the order - badam kheer
the pizza was not good it smells bad
The veg burger tasted so awful. Highly disappointed.
The garlic bread basically had mayo instead of cheese.
Never ordering again.
lot of undercooked globs
roti was not good
dal makhani was not hot
Didn't receive soya masala sabzi as orderd. Instead of soya masala sabzi they have sent some ladies finger curry.
Keep up the good work. Hope you guys make healthier and more nutritional food in the future. Peace ✌️
a bit salt and veggies would give a great taste. pasta should be cooked a bit more. No veggies 😔
This restaurant is just a scam in the name of healthy food. For 350INR they just serve 3 tablespoons of chicken gravy with two miniature size chicken pieces and people buy it thinking it is healthy. The food is as greasy and unhealthy as other restaurants who give you a better portion size for the same price.
"what they are showing in picture is not true!!. no paratha, no salad.. dal tadka missed and paneer gravy was like the same general restaurant. Rs. 298.00 I could hv ordered from other restaurant. but one thing that I like most the ghee mung dal halwa..."
you need to improve the taste of food. othervise everything is good.
only 6 pieces Manchurian worst
food was not at all delicious...waste of money.
Eatfit quality is degrading day by day. Not tasty and portion is very small.
too much spicy.
having stomach issues after eating the biryani
Less portion size and high cost!
price is to high nd poor quality
cutting is not provided properly for pizza
the price they are charging and the quantity is too low
paratha was too cold n chewy very difficult to eat.
please increase qty or atleast include one sweet or something.
Khichdi is not at all good...Khichdi is not prepared well. It is raw...
"undercooked food delivered and Zomato also, didn't take any action."
delayed order
Bhindi was uncooked.
The whole meal smells and tastes stale.
the fried rice and paneer gravy were completely mixed up. very unsavoury.
"I never had a khichdi like this one , the taste is very worst I hardly ate 3spoons and coming to the cakes- over priced for the portion and cakes didn’t backed perfectly"
high pricing for the portion size
samosa had liquid oozing out. it was disgusting
"it's good, but a little bit of an increase in quantity will even be better."
It was not tasty at all
very less quantity. not worth the price. very dissappointed.
the portion size could be better
taste is not good
everything is too spicy
food was not nice
"I didnt liked the food becuase the essence was mixed with each other in the salad , hope u understand if u mix stuffs on ur own and you eat already mixed things before 30 mins"
according to price food is not tasty...waste of money
"very least quality they given , I want my money back"
"received wrong food items, and taste is also not upto mark"
Triple schezwan rice had just black pepper and really bad quality.
very less quantity for a single person as well
waste of money no taste at all ........
i want refund i never order from your restaurant 👎🏻👎🏻
"kheer was watery, just sweet but no taste like kheer."
"Khichdi had some sand like things, didn't feel hygienic and also was tasting like turmeric was added more to the khichdi"
"Found plastic strand in the curd rice. A big concern on food safety. Also, can't finish my food now, can I?"
bad taste
"worest experience,too much spicy"
portion is very less of dal
very bad test
The rice was overcooked..it was more of a sticky rice porridge.. disappointed 😞
Worst. Tastes like shit.
Stale meat!
"I ordered Yellow dal tadka, bhindi chana, and jeera pulao but they send me different some dal khichdi."
Portion size was less
Good non bloating pizza! :)
however i feel its a bit small for 300 bucks.
Bad quality
not good at all there is no chicken tikka 👎👎👎
Deceived by ratings
Three dishes of breakfast was costing 500 plus
Not happy with food taste.
taste is not good & as per price quantity is not good
Less less less quantity
Biryani is not even like ordinary pulav..
Test is average
Serving size is less than what it is mention.
Very Average ..Wouldn't recommended!!
The packaging is very bad. At the end all items got mixed up. Its hard to say what I'm really eating. Eatfit should improve their containers for combo dishes.
planner is extra sweet and paratha is full oily
too smoky
Not so tasty. Amount of gravy is huge which itself is negative for these rice bowls.
very bad taste
no cutlery for quinoa how can i eat this
wrong order delivered and customer care refused refund or compensation.
"I ordered kadhai chicken, soya masala sabzi and parantha thali but I got kadhai chicken, soya masala sabzi and rice."
no sauce for pizza
Horrible taste
Uncooked
quantity was less
Very minimal quantity of sabji added. Not worth the price for the portion received. Dal tastes good though.
over cooked and very hard to break
Dal was filled in half bowl and kadai paneer was watery
u send not fresh pizza🍕.. it taste is worst.... 229 money loss.. worst experience.. see how u pizza like.. it look like rat bite pizza
it spoiled and smelled pizza... taste is not good..
didn't like the taste
Good Food
Received stone in the salad
The sauce or curry what ever it is which i got along with the salad.It is smelly and tastes bad..
sended expired yogurt and very non fresh
The food wasn't tasty. The quality was very poor. i feel like the food wasn't fresh. I think they prepared in the morning and they heated and sent it to me.
Portion size too less it’s not sufficient even for one person and for this they are charging too much
bold berries worst taste not fresh
very bad taste of food
Only bread with little cheese and too cool
Delivered super hot. Fresh and delicious.
Portion size is apt for a healthy eater.
Totally loved it. ❤️
Quantity is less though
food was not good at all
best place item we are not happy with this restaurant don't order anyone this people waste for my money
"packaging was not good, items got fell while taking order from delivery person"
"quality was not good, Daal makhani taste was very bad. Parathas is also not good."
worst worst worst and stale taste
to much oil
worst juice it's expired
for 259 I got only half burger
portion size is very less. Taste is good
Inadequate Food Quantity
There is no badam kheer. Didnt got that at all.
food was totally test less . rice and soya subzi totally burnt
item and toppings were different from what was mentioned
the parcel was totally wet and delivery was very late also even I got wet because of the delivery guy he asked me to come to the nearest landmark while it was raining
worst food very bad taste
rotis are hardened. butter chicken taste is not good.
it's so good
I have stomach problem after I had the biriyani from eat fit Hyderabad. I want to make official complaint
"food was fresh and hot, by taste it was average"
found proper north Indian paratha after so long in Hyderabad. loved it
"it was soggy n not enough chicken on pizza, bread was multi grain. phirani was good."
"The food is pre-prepared and was just headed before packaging. If I am ordering, I expect freshly cooked food"
very poor taste
"Loved it, the tasty yummy pizza, millet base it’s healthier than the common pizza"
butter paneer was too sweet
The containers were half filled. I expected more portion size considering the amount I paid
pizza served cold
Simply loved it ❤️
👍
Sabudana Khichdin was very bad looks like 2 days old cook
perfect
worst taste
sabzi quantity is less
Idli is not soft and taste is average. Not worth the price.
Leaking
Man pizza is sour and my stupidass didn't read the name while ordering it
It was full of garlic. Too much of garlic.
Taste was not good
Very baad pizza
pathetic
Worst Pizza ever...cheese was not melted properly
idlis were hard like stone. no salt in sambhar and chutney
Very Taste less food. Paneer is like rubber
i didn't like biriyani taste. chicken also not good.
Awesome food taste
Stupid delivery boy asking for money
Very average taste
"There were hardly any chicken pieces on the pizza and it was unnecessarily loaded with green chutney that ruined the whole taste. Also, the multi grain base seemed stale and stiff."
"It's your choice to provide the food at 159/- each deal, atleast don't ruin the taste because it's offered at a cheaper price."
burger was very tasfy and fulfilling
poha is sweet and inedible who makes poha sweet plus the other order was shit
Very poor quality. Received cold pizza and garlic bread. The base of both pizza and garic bread seemed very old..
I ordered Matar Paneer curry with paratha. Paratha was good. Curry was tasteless. Not worth.
nice with less spice but the price is too much to the given quantity
literally it's a 6 inch pizza not even tasty very less chicken
the base of the pizzawas very bad it has a lot of flaxseed and ajwini and some weird flavour to it....the worst type of pizza I ever had
if you want Italian from this place go for pasta they are really nice but never a pizza
food was taste less
maybe a bit less cold would be great for my teeth 😂
very less quantity
very less quantity food taste also worst don't order waste of money
"delivery partner is not at all good he don't have manners, properly he don't know the exact location and he shouted on me you don't put the right location. he using bad language too. I don't like your service at all"
The food was completely cold. Rice and soya felt stale
